Name of the Module,No. of Load Sections,RW Section Size in KB,"RE,RO Section Size in KB",Total Size in KB
chre_app_coverage2.so,2,4,8,12
cellinfo_tools.so,2,4,12,16
libsysmondomain_skel.so,2,4,52,56
chre_drv_bt.so,2,24,40,64
fluence_voiceplus_module.so.1,2,4,124,128
EtsiAmrWbPlusDecModule.so.1,2,8,152,160
libstabilitydomain_skel.so,2,4,28,32
chre_drv_wifi.so,2,12,56,68
chre_drv_modem.so,2,4,72,76
WmaStdDecoderModule.so.1,2,4,104,108
libFastRPC_UTF_Forward_skel_pkt.so,2,360,772,1132
HeaacDecoderModule.so.1,2,12,232,244
EtsiEaacPlusEncAndCmnModule.so.1,2,4,160,164
chre_app_sensor_cfg.so,2,4,8,12
libchre_slpi_skel.so,2,36,440,476
sensor_testapp_40.so,2,4,8,12
mmecns_module.so.1,2,8,504,512
libsysmon_skel.so,2,4,40,44
chre_drv_loc.so,2,24,124,148
AlacDecoderModule.so.1,2,4,20,24
libFastRPC_UTF_Forward_skel.so,2,616,1080,1696
VorbisDecoderModule.so.1,2,36,40,76
lowi_client.so,2,24,120,144
CeltModule.so.1,2,4,76,80
chre_app_oem.so,2,4,8,12
AudioSphereModule.so.1,2,4,60,64
LdacModule.so.1,2,4,52,56
WmaProDecoderModule.so.1,2,12,304,316
CFCMModule.so.1,2,4,20,24
FlacDecoderModule.so.1,2,4,28,32
chre_app_coverage.so,2,4,8,12
chre_drv_gf.so,2,20,184,204
MIC2AMBModule.so.1,2,4,36,40
SAPlusCmnModule.so.1,2,16,92,108
chre_pal.so,2,4,4,8
ApeDecoderModule.so.1,2,4,28,32
