Function Name, Cumulative Stack Size, Branch Type
"capi_v2_evs_dec_init",42864,Recursive
"XCUTa7CahnTXCVa",42472,Recursive
"7CqTUaXTC9",42456,Recursive
"capi_v2_evs_enc_init",39448,Recursive
"7CqTCaXT49",39024,Recursive
"X4CTa7CahnTXCVa",39024,Recursive
"tVCPXTXhnqTUCXTC9",24288,Recursive
"fTnJtqTUoXTC9",22352,Recursive
"4ChTtXCPXT2X9HJtT4",20304,Closed
"VXVCTn4XCU2THCVUf7",20304,Closed
"XGnCVa2T4PPTt4ttvG2aa62T6Ho2TntHC",20304,Closed
"XCUTtXTPhCHJ9TXntqC",17608,Closed
"XCUXUCVTHn9",17608,Closed
"XCUmUCVTjn_",17608,Closed
"foTofaqTUCXTC9",17544,Closed
"foTofqTUCXTC9",17480,Closed
"foTofaqTCCXT49",17144,Closed
"BOTofaqTUlXTC9",16872,Closed
"2PqUTthUT4VG4Jf9T2CqCn4XT29",16856,Closed
"4C4lntraqH224TV9",16856,Closed
"oHTofaqTUCXTC9",16856,Closed
"zsF4Clqv4F6TH9",16856,Closed
"__cxa_bad_cast",2848,Recursive
"__cxa_bad_typeid",2840,Recursive
"_Throw_bad",2832,Recursive
"__cxa_throw",2824,Recursive
"std::set_terminate(void (*)())",2808,Recursive
"std::set_unexpected(void (*)())",2808,Recursive
"__cxa_allocate_exception",2808,Recursive
"__cxa_call_unexpected",2792,Closed
"capi_v2_cng_init",1728,Recursive
"afe_svc_aanc_work_loop(void*)",1672,Recursive
"capi_v2_cng_raise_events(capi_v2_cng_t*)",1592,Recursive
"afe_aanc_process_cmd_q(afe_aanc_state*)",1568,Recursive
"capi_v2_media_format_converter_init",1544,Recursive
"aanc_apr_pkt_handler(elite_msg_any_t*, afe_aanc_state*)",1496,Recursive
"capi_v2_eamr_dec_init",1496,Recursive
"capi_v2_media_format_converter_set_properties(capi_v2_t*, capi_v2_proplist_t*)",1488,Recursive
"aanc_apr_lib_cfg_handler(signed char*, afe_aanc_state*, unsigned long, unsigned long, unsigned long)",1424,Recursive
"AdspCoreSvcApr(void*, elite_msg_any_t*)",1424,Recursive
"adsp_dynamic_loader_thread(void*)",1424,Recursive
"afe_port_set_swmad_module_params",1424,Recursive
"mm_register_modules_based_on_acdb",1424,Recursive
"afe_port_apr_dma_start(afe_dev_port*, aprv2_packet_t*)",1408,Recursive
"afe_port_alloc_resources(afe_dev_port*)",1408,Recursive
"afe_create_enc_dec",1408,Recursive
"afe_port_apr_msg_handler",1408,Recursive
"afe_svc_apr_msg_handler",1408,Recursive
"capi_v2_media_format_converter_set_param(capi_v2_t*, unsigned long, capi_v2_port_info_t const*, capi_v2_buf_t*)",1400,Recursive
"capi_v2_hpcm_device_rx_init",1400,Recursive
"capi_v2_hpcm_device_tx_init",1400,Recursive
"capi_v2_hpcm_stream_rx_init",1400,Recursive
"capi_v2_hpcm_stream_tx_init",1400,Recursive
"capi_v2_mfc_set_input_media_format(_capi_v2_media_format_converter_t*, _capi_v2_mfc_media_fmt_t*, capi_v2_port_info_t const*)",1392,Recursive
"afe_create_enc_svc",1392,Recursive
"capi_v2_hpcm_init(capi_v2_t*, capi_v2_proplist_t*)",1384,Recursive
"mm_built_in_registration_tracker_finalize",1384,Recursive
"afe_capi_v2_create",1376,Recursive
"afe_create_dec_svc",1376,Recursive
"handle_reg_dereg_api(unsigned char, void*, unsigned long, unsigned char, unsigned long)",1360,Recursive
"capi_v2_hpcm_set_properties(capi_v2_t*, capi_v2_proplist_t*)",1360,Recursive
"capi_v2_mec_init",1360,Recursive
"capi_v2_voice_avc_rve_tx_init",1360,Recursive
"mm_register_modules_from_reg_api",1360,Recursive
"mm_remove_modules_from_dereg_api",1360,Recursive
"capi_v2_ctm_tx_init",1344,Recursive
"setlocale",1336,Recursive
"capi_v2_sp_rx_init",1328,Recursive
"add_prereq_module_to_client_entry",1320,Recursive
"mm_loop_through_modules_and_reg",1320,Recursive
"voice_log_cal_data(unsigned long, unsigned long, unsigned long)",1304,Recursive
"vpm_calibrate_static(vpm_session_object_t*)",1304,Recursive
"vpm_calibrate_dynamic(vpm_session_object_t*, unsigned long, vpm_dynamic_cal_usecase_enum_t)",1304,Recursive
"vpm_session_cmdq_apr_msg_handler(void*, elite_msg_any_t*)",1304,Recursive
"vsm_workloop(void*)",1304,Recursive
"vdec_set_param_v3(void*, elite_msg_any_t*)",1304,Recursive
"venc_set_param_v3(void*, elite_msg_any_t*)",1304,Recursive
"vprx_data_handler(void*)",1304,Recursive
