Function Name, Cumulative Stack Size, Branch Type
"qc_loc_fw::LOWIRangingFSM::targetParamsSupported(qc_loc_fw::LOWINodeInfo&)",3136,Recursive
"lowi_controller_start",3064,Recursive
"lowi_init",3064,Recursive
"lowi_controller_thread(void*)",3048,Recursive
"lowi_disconnect_cb(void*, void*)",3000,Recursive
"qc_loc_fw::LOWIClientFactory::destroyClient(unsigned long)",2984,Recursive
"handle_request(qmi_req_handle_struct*, unsigned int, qc_loc_fw::LOWIRequest*)",2944,Recursive
"handle_ranging_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_capabilities_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_discovery_scan_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"_ZL29handle_discovery_scan_requestmP21qmi_req_handle_structjPvjS1___merged",2944,Recursive
"handle_wlan_state_query_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_get_bgscan_results_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_bgscan_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_ext_ranging_results_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_get_batching_results_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_batching_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_snoop_scan_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"handle_wlan_events_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",2944,Recursive
"_ZL39handle_wlan_events_subscription_requestmP21qmi_req_handle_structjPvjS1___merged",2944,Recursive
