Name of the Module,No. of Load Sections,RW Section Size in KB,"RE,RO Section Size in KB",Total Size in KB
libsysmondomain_skel.so,2,4,80,84
libvpp_mvp.so,2,4,4,8
ubwcdma_dynlib.so,2,4,32,36
libc++abi.so.1,2,4,192,196
libsysmon_skel.so,2,4,68,72
libvpp_qbr.so,2,4,4,8
libsysmonhvxthrottle_skel.so,2,4,4,8
libvpp_diagtools.so,2,12,296,308
libhcp_rpc_skel.so,2,4,28,32
libvpp_frc.so,2,92,208,300
libvpp_nr.so,2,4,4,8
libc++.so.1,2,20,564,584
libvpp_svc_skel.so,2,4,80,84
libbenchmark_skel.so,2,4,80,84
libvpp_aie.so,2,4,28,32
libstabilitydomain_skel.so,2,4,28,32
