Channel  Owner  SlaveId  Periph
0.       4.      0x0     0x01
1.       4.      0x0     0x04
2.       4.      0x0     0x05
3.       4.      0x0     0x06
4.       0.      0x0     0x08
5.       0.      0x0     0x09
6.       4.      0x0     0x0B
7.       0.      0x0     0x10
8.       0.      0x0     0x11
9.       0.      0x0     0x12
10.      0.      0x0     0x13
11.      0.      0x0     0x14
12.      0.      0x0     0x15
13.      0.      0x0     0x16
14.      0.      0x0     0x17
15.      0.      0x0     0x18
16.      0.      0x0     0x19
17.      0.      0x0     0x1B
18.      2.      0x0     0x1C
19.      0.      0x0     0x24
20.      0.      0x0     0x28
21.      4.      0x0     0x2C
22.      0.      0x0     0x31
23.      2.      0x0     0x32
24.      0.      0x0     0x34
25.      0.      0x0     0x35
26.      0.      0x0     0x37
27.      2.      0x0     0x38
28.      0.      0x0     0x39
29.      4.      0x0     0x3C
30.      0.      0x0     0x40
31.      0.      0x0     0x41
32.      0.      0x0     0x42
33.      0.      0x0     0x43
34.      0.      0x0     0x44
35.      0.      0x0     0x45
36.      0.      0x0     0x46
37.      0.      0x0     0x48
38.      0.      0x0     0x49
39.      0.      0x0     0x4A
40.      0.      0x0     0x4B
41.      2.      0x0     0x50
42.      4.      0x0     0x51
43.      4.      0x0     0x52
44.      4.      0x0     0x53
45.      2.      0x0     0x54
46.      2.      0x0     0x55
47.      4.      0x0     0x59
48.      4.      0x0     0x5A
49.      4.      0x0     0x5B
50.      2.      0x0     0x60
51.      0.      0x0     0x61
52.      0.      0x0     0x62
53.      4.      0x0     0x70
54.      4.      0x0     0x71
55.      4.      0x0     0x72
56.      2.      0x0     0x73
57.      2.      0x0     0x74
58.      2.      0x0     0xC0
59.      0.      0x0     0xC1
60.      0.      0x0     0xC2
61.      0.      0x0     0xC3
62.      0.      0x0     0xC4
63.      0.      0x0     0xC5
64.      0.      0x0     0xC6
65.      0.      0x0     0xC7
66.      0.      0x0     0xC8
67.      0.      0x0     0xC9
68.      0.      0x0     0xCA
69.      0.      0x0     0xCB
70.      0.      0x0     0xCC
71.      4.      0x1     0x01
72.      4.      0x1     0x10
73.      0.      0x1     0x14
74.      0.      0x1     0x15
75.      0.      0x1     0x16
76.      0.      0x1     0x17
77.      0.      0x1     0x18
78.      0.      0x1     0x19
79.      0.      0x1     0x1A
80.      0.      0x1     0x1B
81.      0.      0x1     0x1C
82.      4.      0x1     0x1D
83.      4.      0x1     0x1E
84.      4.      0x1     0x1F
85.      2.      0x1     0x20
86.      2.      0x1     0x21
87.      2.      0x1     0x22
88.      4.      0x1     0x23
89.      4.      0x1     0x24
90.      4.      0x1     0x25
91.      4.      0x1     0x40
92.      4.      0x1     0x41
93.      4.      0x1     0x42
94.      4.      0x1     0x44
95.      4.      0x1     0x45
96.      4.      0x1     0x46
97.      4.      0x1     0x47
98.      4.      0x1     0x48
99.      4.      0x1     0x49
100.     4.      0x1     0x4A
101.     4.      0x1     0x4B
102.     4.      0x1     0x4C
103.     4.      0x1     0x4D
104.     2.      0x1     0x4E
105.     4.      0x1     0x4F
106.     2.      0x1     0x50
107.     4.      0x1     0x51
108.     4.      0x1     0x52
109.     0.      0x1     0xC0
110.     4.      0x2     0x01
111.     4.      0x2     0x04
112.     4.      0x2     0x05
113.     4.      0x2     0x06
114.     0.      0x2     0x08
115.     0.      0x2     0x09
116.     0.      0x2     0x20
117.     0.      0x2     0x21
118.     0.      0x2     0x24
119.     4.      0x2     0x2C
120.     4.      0x2     0x3C
121.     2.      0x2     0x3F
122.     4.      0x2     0x59
123.     4.      0x2     0x66
124.     4.      0x2     0x70
125.     4.      0x2     0x71
126.     4.      0x2     0x72
127.     0.      0x2     0x73
128.     0.      0x2     0xC0
129.     0.      0x2     0xC1
130.     0.      0x2     0xC2
131.     0.      0x2     0xC3
132.     0.      0x2     0xC4
133.     0.      0x2     0xC5
134.     0.      0x2     0xC6
135.     0.      0x2     0xC7
136.     0.      0x2     0xC8
137.     0.      0x2     0xC9
138.     0.      0x2     0xCA
139.     0.      0x2     0xCB
140.     4.      0x3     0x01
141.     4.      0x3     0x10
142.     4.      0x3     0x14
143.     4.      0x3     0x15
144.     4.      0x3     0x16
145.     4.      0x3     0x17
146.     4.      0x3     0x18
147.     4.      0x3     0x19
148.     4.      0x3     0x1A
149.     4.      0x3     0x1B
150.     4.      0x3     0x1C
151.     4.      0x3     0x1D
152.     4.      0x3     0x1E
153.     4.      0x3     0x1F
154.     4.      0x3     0x20
155.     4.      0x3     0x21
156.     4.      0x3     0x22
157.     0.      0x3     0x23
158.     0.      0x3     0x24
159.     4.      0x3     0x40
160.     4.      0x3     0x41
161.     4.      0x3     0x42
162.     4.      0x3     0x43
163.     4.      0x3     0x44
164.     4.      0x3     0x45
165.     4.      0x3     0x46
166.     4.      0x3     0x47
167.     2.      0x3     0x48
168.     2.      0x3     0x49
169.     4.      0x3     0xA0
170.     0.      0x3     0xA1
171.     0.      0x3     0xB0
172.     0.      0x3     0xB1
173.     0.      0x3     0xB2
174.     0.      0x3     0xB3
175.     0.      0x3     0xB4
176.     0.      0x3     0xD0
177.     0.      0x3     0xD3
178.     0.      0x3     0xD8
179.     0.      0x3     0xD9
180.     0.      0x3     0xDC
181.     0.      0x3     0xDE
182.     0.      0x3     0xE0
183.     0.      0x3     0xEC
184.     0.      0x3     0xF0
185.     0.      0x3     0xF1
186.     4.      0xe     0x05
187.     4.      0xe     0x06
188.     0.      0xe     0x08
189.     4.      0xe     0x72
