Channel  Owner  SlaveId  Periph
0.       0.      0x0     0x3D
1.       1.      0x0     0x04
2.       3.      0x0     0x04
3.       1.      0x0     0x08
4.       0.      0x0     0x08
5.       2.      0x0     0x60
6.       1.      0x0     0x70
7.       3.      0x0     0x01
8.       3.      0x0     0x04
9.       3.      0x0     0x05
10.      3.      0x0     0x06
11.      3.      0x0     0x08
12.      0.      0x0     0x08
13.      3.      0x0     0x09
14.      3.      0x0     0x0B
15.      3.      0x0     0x0C
16.      3.      0x0     0x1C
17.      3.      0x0     0x2C
18.      3.      0x0     0x36
19.      3.      0x0     0x37
20.      3.      0x0     0x39
21.      3.      0x0     0x3B
22.      3.      0x0     0x3C
23.      3.      0x0     0x50
24.      3.      0x0     0x54
25.      3.      0x0     0x55
26.      3.      0x0     0x56
27.      3.      0x0     0x57
28.      3.      0x0     0x58
29.      3.      0x0     0x59
30.      3.      0x0     0x5A
31.      3.      0x0     0x71
32.      3.      0x0     0x72
33.      3.      0x1     0x10
34.      3.      0x1     0x14
35.      3.      0x1     0x15
36.      3.      0x1     0x16
37.      3.      0x1     0x17
38.      3.      0x1     0x18
39.      3.      0x1     0x19
40.      3.      0x1     0x1A
41.      3.      0x1     0x1B
42.      3.      0x1     0x1C
43.      3.      0x1     0x1D
44.      3.      0x1     0x1E
45.      3.      0x1     0x1F
46.      3.      0x1     0x20
47.      3.      0x1     0x21
48.      3.      0x1     0x22
49.      3.      0x1     0x40
50.      3.      0x1     0x41
51.      3.      0x1     0x42
52.      3.      0x1     0x43
53.      3.      0x1     0x44
54.      3.      0x1     0x45
55.      3.      0x1     0x46
56.      3.      0x1     0x47
57.      3.      0x1     0x48
58.      3.      0x1     0x49
59.      3.      0x1     0x4A
60.      3.      0x1     0x4B
61.      3.      0x1     0x4C
62.      3.      0x1     0x4D
63.      3.      0x1     0x4E
64.      3.      0x1     0x4F
65.      2.      0x0     0x04
66.      3.      0x0     0x04
67.      2.      0x0     0x32
68.      2.      0x0     0x35
69.      2.      0x0     0x50
70.      3.      0x0     0x50
71.      2.      0x0     0x73
72.      2.      0x0     0xC0
73.      0.      0x0     0xC0
74.      2.      0x0     0xC1
75.      0.      0x0     0xC1
76.      2.      0x0     0xC2
77.      0.      0x0     0xC2
78.      2.      0x0     0xC3
79.      0.      0x0     0xC3
80.      2.      0x0     0xC4
81.      0.      0x0     0xC4
82.      2.      0x0     0xC5
83.      0.      0x0     0xC5
84.      2.      0x0     0xC6
85.      0.      0x0     0xC6
86.      2.      0x0     0xC7
87.      0.      0x0     0xC7
88.      2.      0x0     0xC8
89.      0.      0x0     0xC8
90.      0.      0x0     0x04
91.      3.      0x0     0x04
92.      0.      0x0     0x08
93.      0.      0x0     0x0D
94.      0.      0x0     0x24
95.      0.      0x0     0x31
96.      0.      0x0     0x3A
97.      0.      0x0     0x3D
98.      0.      0x0     0x3D
99.      2.      0x0     0x3F
100.     0.      0x0     0x5B
101.     0.      0x0     0x61
102.     0.      0x0     0x62
103.     0.      0x0     0x74
104.     0.      0x0     0xC0
105.     0.      0x0     0xC1
106.     0.      0x0     0xC2
107.     0.      0x0     0xC3
108.     0.      0x0     0xC4
109.     0.      0x0     0xC5
110.     0.      0x0     0xC6
111.     0.      0x0     0xC7
112.     0.      0x0     0xC8
113.     0.      0x1     0xBC
114.     0.      0x1     0xBD
115.     0.      0x1     0xBE
116.     0.      0x1     0xBF
117.     4.      0xE     0x72
