Channel  SlaveId  Periph
0.       0x0      0x50
1.       0x0      0x54
2.       0x0      0x55
3.       0x0      0x56
4.       0x0      0x57
5.       0x0      0x58
6.       0x0      0x59
7.       0x0      0x5A
8.       0x0      0x5B
9.       0x0      0x72
10.      0x1      0x14
11.      0x1      0x17
12.      0x1      0x1A
13.      0x1      0x1D
14.      0x1      0x20
15.      0x1      0x40
16.      0x1      0x41
17.      0x1      0x42
18.      0x1      0x43
19.      0x1      0x44
20.      0x1      0x45
21.      0x1      0x46
22.      0x1      0x47
23.      0x1      0x48
24.      0x1      0x49
25.      0x1      0x4A
26.      0x1      0x4B
27.      0x1      0x4C
28.      0x1      0x4D
29.      0x1      0x4E
30.      0x1      0x4F
31.      0xE      0x72
32.      0x0      0x0C
